index,x,y,z
0,0.50826776,0.114065185,0.29838055
0,0.29085803,0.28671786,0.3191747
0,0.44768712,-0.038459405,0.020326585
0,0.42603377,-0.15023491,0.2922199
0,0.23122081,-0.061217457,0.24256338
0,0.47343373,0.25220343,0.2696923
0,0.44939578,-0.14958282,0.019136503
0,0.21538754,0.03259529,-0.0202398
0,0.39264658,-0.30491555,-0.016170666
0,0.43744552,0.016791102,0.21030554
0,0.49087396,-0.20863351,0.27067623
0,0.35010535,-0.13644063,-0.062055632
0,0.3116477,-0.19080555,-0.092943445
0,0.35504442,-0.27520534,0.018619075
0,0.46822798,-0.0015008135,0.033267453
0,0.44485343,-0.23995271,0.3404109
0,0.4363901,0.22867617,0.017684966
0,0.3984411,-0.10466018,-0.029685006
0,0.4613403,-0.2073013,0.049626067
0,0.2443868,0.041911244,0.046657354
0,0.26111537,-0.14476275,-0.102726966
0,0.43863726,0.25096002,0.035604343
0,0.48299822,0.25932196,0.18434334
0,0.42849237,0.24008188,0.010014027
0,0.34777117,0.23397744,-0.07349306
0,0.38626587,0.018563557,0.3897984
0,0.47103125,-0.2543418,0.1006423
0,0.5223136,0.10787715,0.24311554
0,0.2514277,0.37928087,0.31316543
0,0.37730712,0.19511545,-0.04880804
0,0.3220114,0.34288695,-0.0860398
0,0.3447922,-0.09409775,0.28320688
0,0.4550413,0.25019872,0.05802019
0,0.4909882,0.13654882,0.32773188
0,0.20281819,-0.21767744,0.474415
0,0.41306227,-0.10374707,-0.018747851
0,0.47205484,0.2796545,0.14764464
0,0.46936393,-0.21270706,0.067008264
0,0.5135589,0.16151474,0.1854455
0,0.41716778,-0.19289812,-0.012349501
0,0.52541435,-0.040007845,0.27037224
0,0.28339422,-0.36070356,0.32132202
0,0.44414574,-0.045252446,0.007949799
0,0.42805177,0.24750933,0.011694968
0,0.18347119,0.15861368,-0.14233068
0,0.30482635,0.2313596,-0.104937255
0,0.40339482,0.29365873,0.09303099
0,0.46863687,-0.22553962,0.07226204
0,0.31343818,-0.25209248,0.29956764
0,0.48861274,-0.0066265203,0.33815917
0,0.31528622,-0.37187153,0.36661452
0,0.42286125,-0.25389642,0.35892206
0,0.2797526,-0.24944913,-0.15904513
0,0.47053826,0.2563153,0.1011803
0,0.46561044,-0.07782101,0.032419845
0,0.3138168,-0.25656137,0.19870728
0,0.41735676,0.2324519,-0.0062191933
0,0.44720912,0.23445305,0.34106547
0,0.52298623,-0.11749675,0.2066123
0,0.3942672,-0.1693605,-0.034663856
0,0.46947992,-0.25441387,0.09600474
0,0.35851717,-0.3246521,-0.11919379
0,0.33298767,-0.27620995,-0.18078135
0,0.5035318,-0.14948563,0.28878632
0,0.5083246,-0.17439863,0.23895721
0,0.46796906,0.11941226,0.37223178
0,0.49023673,-0.24023348,0.20062858
0,0.5006771,-0.10735197,0.32086515
0,0.37309122,-0.32266563,0.31952906
0,0.35798705,-0.08976495,0.25154608
0,0.4763481,0.267644,0.22754683
0,0.52504146,-0.087515794,0.24542296
0,0.5107222,-0.13137329,0.2789625
0,0.23062941,-0.043832455,0.11663462
0,0.26837778,0.2784213,0.14345822
0,0.49683434,0.14624311,0.30933103
0,0.44050395,0.20575935,0.017405108
0,0.34156805,-0.007815293,-0.053486705
0,0.49743152,0.18522419,0.12310189
0,0.51387835,0.004398464,0.31324717
0,0.27743635,-0.29814273,0.40650374
0,0.45828742,0.23074442,0.32629347
0,0.42941704,-0.30967262,0.047054045
0,0.525751,0.07157966,0.25391513
0,0.33213118,-0.047033466,-0.051682502
0,0.38918936,0.14606689,0.44642597
0,0.45370454,-0.015270704,0.40745428
0,0.48659253,-0.03697498,0.36415344
0,0.44868714,-0.19337861,0.36509547
0,0.37021518,0.2702189,0.27402788
0,0.39829886,-0.295281,-0.0123813
0,0.43421888,-0.11705669,3.6612153e-05
0,0.26549193,0.28592646,0.23825201
0,0.3721718,-0.3062611,-0.041352272
0,0.5012924,0.13748094,0.10612165
0,0.43722963,-0.13508357,0.003996253
0,0.2329309,-0.1678184,-0.07915582
0,0.5109178,0.05875802,0.31329942
0,0.36908138,0.06266781,0.20098354
0,0.32341713,-0.1254238,0.09443083
0,0.41086006,0.29866573,0.33772564
0,0.36295113,0.32020593,0.37126082
0,0.44872487,-0.27736726,0.29942515
0,0.2579906,0.025187183,0.024027199
0,0.49239826,-0.14874645,0.31804046
0,0.4507798,0.20859776,0.35349736
0,0.48514885,-0.018088846,0.05607809
0,0.29301512,0.124844566,0.123606354
0,0.5298792,-0.023872657,0.17447603
0,0.45102382,0.25708923,0.3160167
0,0.33166888,-0.234823,0.16323614
0,0.41265786,-0.16758355,-0.018555015
0,0.23001507,0.26437685,-0.16499618
0,0.51022285,-0.0033291583,0.10199432
0,0.44049516,0.124134555,0.40330464
0,0.38339883,-0.2789132,0.14352
0,0.3918331,-0.0886203,0.24970919
0,0.27763027,0.14214908,0.3816159
0,0.49598587,-0.026640981,0.34972596
0,0.50983834,0.15844999,0.15049827
0,0.36629277,-0.31457955,-0.045657888
0,0.48825988,0.12725773,0.22266217
0,0.4920063,0.21456704,0.13187017
0,0.4847026,-0.19027926,0.30635822
0,0.28153318,-0.18099235,0.3019403
0,0.49296433,-0.06809981,0.14688915
0,0.38155973,0.32007113,0.07886442
0,0.5023409,0.048490383,0.33486503
0,0.46425927,0.20495835,0.33543748
0,0.35205168,0.34102204,0.3631304
0,0.37903267,0.19205965,-0.047359258
0,0.48897392,-0.23413678,0.1471958
0,0.4920075,0.0035514715,0.22147171
0,0.5066526,-0.18524744,0.227403
0,0.29787502,0.08951742,0.06872031
0,0.5081851,-0.11862098,0.29599273
0,0.44958273,0.24795523,0.3266747
0,0.40313476,0.29702383,-0.005012572
0,0.20563939,0.33043006,-0.036175564
0,0.22686239,-0.19902417,0.08043017
0,0.3829981,-0.13500193,0.10110739
0,0.3675916,0.17388444,0.09808844
0,0.4493541,0.09337514,0.014518619
0,0.48580837,0.085604265,0.35626933
0,0.34222394,0.02221284,0.1302904
0,0.5116396,-0.0330921,0.3165741
0,0.4749745,-0.17739147,0.33498594
0,0.48831344,0.22332464,0.25984997
0,0.51522386,-0.13442078,0.25649092
0,0.46088582,0.1434539,0.27266973
0,0.38150004,0.33631045,0.21802366
0,0.2923908,-0.024743319,0.47536305
0,0.24355163,0.08565872,0.180336
0,0.49449247,0.029893607,0.07380776
0,0.23067398,-0.34403354,0.41979337
0,0.38230804,0.30343637,-0.030045927
0,0.42955363,-0.31985128,0.285162
0,0.48157895,-0.049455002,0.24981649
0,0.53271914,-0.010343295,0.21248753
0,0.49595198,-0.116043,0.08626153
0,0.53022987,-0.012720341,0.17509526
0,0.28896305,-0.37518993,-0.091949195
0,0.48001856,-0.019682247,0.04871215
0,0.3310775,0.20892084,0.066832915
0,0.26047838,0.122130714,0.15229623
0,0.5181873,0.139245,0.18432337
0,0.509013,-0.072678864,0.10604687
0,0.41981736,0.28697616,0.01524955
0,0.48250714,0.22795935,0.11080734
0,0.48201287,-0.15497047,0.33527172
0,0.52233976,-0.120839104,0.21334855
0,0.2355336,0.062957756,0.16111642
0,0.33976194,-0.29802793,0.106345214
0,0.21155527,0.015026635,0.008178204
0,0.4076942,0.2288867,-0.018024832
0,0.25912112,-0.3000912,-0.18336129
0,0.43695468,-0.10206831,0.11303975
0,0.4909767,0.2292579,0.14976658
0,0.5047352,-0.18441114,0.24386841
0,0.49855363,0.16256903,0.11095397
0,0.45006457,-0.22018577,0.035490587
0,0.46313423,0.14304188,0.036164105
0,0.3044287,-0.08746743,-0.07237385
0,0.47824603,-0.15183184,0.3155374
0,0.45220935,0.32456505,0.16905186
0,0.23342653,0.19041516,0.026341468
0,0.4925086,0.17103392,0.3026957
0,0.28109476,-0.20740768,0.055987746
0,0.4637261,0.124505125,0.03431502
0,0.3888737,0.17936888,-0.03918022
0,0.45441127,-0.31821448,0.14876269
0,0.44892168,0.162159,0.18283483
0,0.50552696,-0.19172761,0.17903528
0,0.4349715,-0.22508739,0.36364025
0,0.5249437,0.10008292,0.18799396
0,0.5064508,-0.08010743,0.31795132
0,0.4961241,-0.11715363,0.08692146
0,0.39337513,-0.05022378,0.4433933
0,0.3701079,0.02590073,0.3081895
0,0.22656274,0.25972775,0.21864752
0,0.47454265,0.06575022,0.04322596
0,0.28746969,-0.3289441,0.36466396
0,0.39450955,0.20180117,0.1568386
0,0.43547317,-0.11273345,0.23012894
0,0.31402844,0.123513415,0.118270054
0,0.25846675,-0.18459131,0.37123963
0,0.4663479,0.027353473,0.031287745
0,0.20741749,0.36381105,0.14153917
0,0.4252487,-0.14428772,-0.0075746626
0,0.4786895,-0.19369215,0.31685272
0,0.28216985,-0.19098447,0.19387376
0,0.49650097,0.1739241,0.28947932
0,0.4448532,0.0058645727,0.0427171
0,0.24628173,0.18345553,0.07859084
0,0.29826972,-0.028005525,0.25945473
